SpatialDimValueCode,Location,country,Obesity_Rate,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
COM,Comoros,Comoros,7.8,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.18,NA,NA,12.54,NA,21.81,17.18 [12.54 – 21.81],NA,NA,EN,2018-09-13T07:00:00Z
SLB,Solomon Islands,Solomon Islands,22.5,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,WPR,Western Pacific,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.19,NA,NA,12.23,NA,23.56,17.19 [12.23 – 23.56],NA,NA,EN,2018-09-13T07:00:00Z
MNG,Mongolia,Mongolia,20.6,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.28,NA,NA,12.87,NA,22.79,17.28 [12.87 – 22.79],NA,NA,EN,2018-09-13T07:00:00Z
SLE,Sierra Leone,Sierra Leone,8.7,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.37,NA,NA,13.1,NA,22.66,17.37 [13.1 – 22.66],NA,NA,EN,2018-09-13T07:00:00Z
TCD,Chad,Chad,6.1,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.43,NA,NA,11.76,NA,23.1,17.43 [11.76 – 23.1],NA,NA,EN,2018-09-13T07:00:00Z
GIN,Guinea,Guinea,7.7,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.47,NA,NA,13.03,NA,23.01,17.47 [13.03 – 23.01],NA,NA,EN,2018-09-13T07:00:00Z
SYC,Seychelles,Seychelles,14,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.52,NA,NA,13.06,NA,23.08,17.52 [13.06 – 23.08],NA,NA,EN,2018-09-13T07:00:00Z
BFA,Burkina Faso,Burkina Faso,5.6,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.79,NA,NA,12.97,NA,22.6,17.79 [12.97 – 22.6],NA,NA,EN,2018-09-13T07:00:00Z
GEO,Georgia,Georgia,21.7,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.86,NA,NA,13.08,NA,23.87,17.86 [13.08 – 23.87],NA,NA,EN,2018-09-13T07:00:00Z
RUS,Russian Federation,Russia,23.1,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.99,NA,NA,13.17,NA,22.81,17.99 [13.17 – 22.81],NA,NA,EN,2018-09-13T07:00:00Z
NER,Niger,Niger,5.5,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.21,NA,NA,13.15,NA,24.66,18.21 [13.15 – 24.66],NA,NA,EN,2018-09-13T07:00:00Z
UZB,Uzbekistan,Uzbekistan,16.6,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.37,NA,NA,12.66,NA,25.79,18.37 [12.66 – 25.79],NA,NA,EN,2018-09-13T07:00:00Z
MNG,Mongolia,Mongolia,20.6,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.45,NA,NA,13.54,NA,24.62,18.45 [13.54 – 24.62],NA,NA,EN,2018-09-13T07:00:00Z
FIN,Finland,Finland,22.2,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.55,NA,NA,14.29,NA,23.71,18.55 [14.29 – 23.71],NA,NA,EN,2018-09-13T07:00:00Z
CPV,Cabo Verde,Cape Verde,11.8,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.62,NA,NA,14.2,NA,23.97,18.62 [14.2 – 23.97],NA,NA,EN,2018-09-13T07:00:00Z
TJK,Tajikistan,Tajikistan,14.2,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.69,NA,NA,12.99,NA,26.11,18.69 [12.99 – 26.11],NA,NA,EN,2018-09-13T07:00:00Z
FIN,Finland,Finland,22.2,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.71,NA,NA,14.63,NA,23.6,18.71 [14.63 – 23.6],NA,NA,EN,2018-09-13T07:00:00Z
SYC,Seychelles,Seychelles,14,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.77,NA,NA,13.72,NA,25.12,18.77 [13.72 – 25.12],NA,NA,EN,2018-09-13T07:00:00Z
UKR,Ukraine,Ukraine,24.1,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.88,NA,NA,13.86,NA,25.16,18.88 [13.86 – 25.16],NA,NA,EN,2018-09-13T07:00:00Z
FIN,Finland,Finland,22.2,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.88,NA,NA,14.99,NA,23.48,18.88 [14.99 – 23.48],NA,NA,EN,2018-09-13T07:00:00Z
GEO,Georgia,Georgia,21.7,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.98,NA,NA,13.56,NA,25.87,18.98 [13.56 – 25.87],NA,NA,EN,2018-09-13T07:00:00Z
COD,Democratic Republic of the Congo,DR Congo,6.7,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.17,NA,NA,14.72,NA,24.57,19.17 [14.72 – 24.57],NA,NA,EN,2018-09-13T07:00:00Z
GMB,Gambia,Gambia,10.3,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.24,NA,NA,14.56,NA,24.94,19.24 [14.56 – 24.94],NA,NA,EN,2018-09-13T07:00:00Z
VNM,Viet Nam,Vietnam,2.1,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.26,NA,NA,14.32,NA,25.39,19.26 [14.32 – 25.39],NA,NA,EN,2018-09-13T07:00:00Z
LAO,Lao People's Democratic Republic,Laos,5.3,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,WPR,Western Pacific,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.41,NA,NA,13.32,NA,25.49,19.41 [13.32 – 25.49],NA,NA,EN,2018-09-13T07:00:00Z
URY,Uruguay,Uruguay,27.9,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AMR,Americas,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.42,NA,NA,14.76,NA,25.1,19.42 [14.76 – 25.1],NA,NA,EN,2018-09-13T07:00:00Z
RUS,Russian Federation,Russia,23.1,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,NA,NA,13.94,NA,24.94,19.44 [13.94 – 24.94],NA,NA,EN,2018-09-13T07:00:00Z
LBR,Liberia,Liberia,9.9,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.89,NA,NA,15.55,NA,25.08,19.89 [15.55 – 25.08],NA,NA,EN,2018-09-13T07:00:00Z
MAR,Morocco,Morocco,26.1,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EMR,Eastern Mediterranean,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9,NA,NA,13.8,NA,27.8,19.9 [13.8 – 27.8],NA,NA,EN,2018-09-13T07:00:00Z
GEO,Georgia,Georgia,21.7,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.95,NA,NA,13.98,NA,27.62,19.95 [13.98 – 27.62],NA,NA,EN,2018-09-13T07:00:00Z
SYC,Seychelles,Seychelles,14,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.04,NA,NA,14.39,NA,27.18,20.04 [14.39 – 27.18],NA,NA,EN,2018-09-13T07:00:00Z
TUV,Tuvalu,Tuvalu,51.6,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,WPR,Western Pacific,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.08,NA,NA,14.65,NA,26.85,20.08 [14.65 – 26.85],NA,NA,EN,2018-09-13T07:00:00Z
MDG,Madagascar,Madagascar,5.3,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.11,NA,NA,15.42,NA,25.77,20.11 [15.42 – 25.77],NA,NA,EN,2018-09-13T07:00:00Z
ZMB,Zambia,Zambia,8.1,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.13,NA,NA,15.67,NA,24.59,20.13 [15.67 – 24.59],NA,NA,EN,2018-09-13T07:00:00Z
STP,Sao Tome and Principe,Sao Tome and Principe,12.4,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.16,NA,NA,15.28,NA,26.1,20.16 [15.28 – 26.1],NA,NA,EN,2018-09-13T07:00:00Z
CMR,Cameroon,Cameroon,11.4,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.19,NA,NA,15.7,NA,25.58,20.19 [15.7 – 25.58],NA,NA,EN,2018-09-13T07:00:00Z
GHA,Ghana,Ghana,10.9,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.27,NA,NA,15.99,NA,24.56,20.27 [15.99 – 24.56],NA,NA,EN,2018-09-13T07:00:00Z
BRN,Brunei Darussalam,Brunei,14.1,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,WPR,Western Pacific,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.38,NA,NA,13.43,NA,29.67,20.38 [13.43 – 29.67],NA,NA,EN,2018-09-13T07:00:00Z
BWA,Botswana,Botswana,18.9,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.42,NA,NA,15.81,NA,25.91,20.42 [15.81 – 25.91],NA,NA,EN,2018-09-13T07:00:00Z
BFA,Burkina Faso,Burkina Faso,5.6,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.46,NA,NA,14.98,NA,25.93,20.46 [14.98 – 25.93],NA,NA,EN,2018-09-13T07:00:00Z
ERI,Eritrea,Eritrea,5,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,NA,NA,17.29,NA,23.71,20.5 [17.29 – 23.71],NA,NA,EN,2018-09-13T07:00:00Z
LKA,Sri Lanka,Sri Lanka,5.2,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.52,NA,NA,14.88,NA,27.57,20.52 [14.88 – 27.57],NA,NA,EN,2018-09-13T07:00:00Z
ZWE,Zimbabwe,Zimbabwe,15.5,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.61,NA,NA,15.45,NA,26.94,20.61 [15.45 – 26.94],NA,NA,EN,2018-09-13T07:00:00Z
UKR,Ukraine,Ukraine,24.1,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.69,NA,NA,15.08,NA,27.67,20.69 [15.08 – 27.67],NA,NA,EN,2018-09-13T07:00:00Z
GRD,Grenada,Grenada,21.3,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AMR,Americas,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.82,NA,NA,15.18,NA,27.86,20.82 [15.18 – 27.86],NA,NA,EN,2018-09-13T07:00:00Z
COK,Cook Islands,Cook Islands,55.9,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,WPR,Western Pacific,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.93,NA,NA,15.26,NA,27.85,20.93 [15.26 – 27.85],NA,NA,EN,2018-09-13T07:00:00Z
IDN,Indonesia,Indonesia,6.9,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.94,NA,NA,14.47,NA,29.29,20.94 [14.47 – 29.29],NA,NA,EN,2018-09-13T07:00:00Z
NER,Niger,Niger,5.5,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.98,NA,NA,15.4,NA,27.91,20.98 [15.4 – 27.91],NA,NA,EN,2018-09-13T07:00:00Z
SEN,Senegal,Senegal,8.8,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.18,NA,NA,17.04,NA,25.31,21.18 [17.04 – 25.31],NA,NA,EN,2018-09-13T07:00:00Z
TCD,Chad,Chad,6.1,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.31,NA,NA,14.87,NA,27.75,21.31 [14.87 – 27.75],NA,NA,EN,2018-09-13T07:00:00Z
IDN,Indonesia,Indonesia,6.9,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.54,NA,NA,15.15,NA,29.66,21.54 [15.15 – 29.66],NA,NA,EN,2018-09-13T07:00:00Z
TUR,Türkiye,Turkey,32.1,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.58,NA,NA,16.15,NA,28.19,21.58 [16.15 – 28.19],NA,NA,EN,2018-09-13T07:00:00Z
EGY,Egypt,Egypt,32,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EMR,Eastern Mediterranean,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.64,NA,NA,15.97,NA,28.61,21.64 [15.97 – 28.61],NA,NA,EN,2018-09-13T07:00:00Z
IRN,Iran (Islamic Republic of),Iran,25.8,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EMR,Eastern Mediterranean,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.82,NA,NA,16.4,NA,28.41,21.82 [16.4 – 28.41],NA,NA,EN,2018-09-13T07:00:00Z
BTN,Bhutan,Bhutan,6.4,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.88,NA,NA,17.55,NA,26.21,21.88 [17.55 – 26.21],NA,NA,EN,2018-09-13T07:00:00Z
SLB,Solomon Islands,Solomon Islands,22.5,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,WPR,Western Pacific,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1,NA,NA,15.69,NA,30.19,22.1 [15.69 – 30.19],NA,NA,EN,2018-09-13T07:00:00Z
SWZ,Eswatini,Eswatini,16.5,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1,NA,NA,18.85,NA,25.35,22.1 [18.85 – 25.35],NA,NA,EN,2018-09-13T07:00:00Z
IDN,Indonesia,Indonesia,6.9,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.14,NA,NA,15.84,NA,30.03,22.14 [15.84 – 30.03],NA,NA,EN,2018-09-13T07:00:00Z
COD,Democratic Republic of the Congo,DR Congo,6.7,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.15,NA,NA,17.21,NA,28.02,22.15 [17.21 – 28.02],NA,NA,EN,2018-09-13T07:00:00Z
UKR,Ukraine,Ukraine,24.1,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.19,NA,NA,16.09,NA,29.75,22.19 [16.09 – 29.75],NA,NA,EN,2018-09-13T07:00:00Z
NGA,Nigeria,Nigeria,8.9,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.25,NA,NA,17.41,NA,27.97,22.25 [17.41 – 27.97],NA,NA,EN,2018-09-13T07:00:00Z
THA,Thailand,Thailand,10,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,SEAR,South-East Asia,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.59,NA,NA,16.91,NA,29.47,22.59 [16.91 – 29.47],NA,NA,EN,2018-09-13T07:00:00Z
COG,Congo,Republic of the Congo,9.6,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.72,NA,NA,17.22,NA,29.33,22.72 [17.22 – 29.33],NA,NA,EN,2018-09-13T07:00:00Z
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,17.9,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.85,NA,NA,16.74,NA,30.36,22.85 [16.74 – 30.36],NA,NA,EN,2018-09-13T07:00:00Z
ARM,Armenia,Armenia,20.2,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.96,NA,NA,16.29,NA,31.3,22.96 [16.29 – 31.3],NA,NA,EN,2018-09-13T07:00:00Z
PAK,Pakistan,Pakistan,8.6,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EMR,Eastern Mediterranean,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.04,NA,NA,12.74,NA,33.35,23.04 [12.74 – 33.35],NA,NA,EN,2018-09-13T07:00:00Z
ZMB,Zambia,Zambia,8.1,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.17,NA,NA,18.13,NA,28.22,23.17 [18.13 – 28.22],NA,NA,EN,2018-09-13T07:00:00Z
ARM,Armenia,Armenia,20.2,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Both sexes,BTSX,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3,NA,NA,16.87,NA,31.24,23.3 [16.87 – 31.24],NA,NA,EN,2018-09-13T07:00:00Z
SWE,Sweden,Sweden,20.6,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.39,NA,NA,18.73,NA,28.79,23.39 [18.73 – 28.79],NA,NA,EN,2018-09-13T07:00:00Z
GHA,Ghana,Ghana,10.9,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,AFR,Africa,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.44,NA,NA,18.67,NA,28.21,23.44 [18.67 – 28.21],NA,NA,EN,2018-09-13T07:00:00Z
CHE,Switzerland,Switzerland,19.5,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,EUR,Europe,Country,Year,2016,TRUE,Sex,Male,MLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.45,NA,NA,18.09,NA,29.81,23.45 [18.09 – 29.81],NA,NA,EN,2018-09-13T07:00:00Z
FJI,Fiji,Fiji,30.2,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),numeric,WPR,Western Pacific,Country,Year,2016,TRUE,Sex,Female,FMLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.46,NA,NA,16.96,NA,31.5,23.46 [16.96 – 31.5],NA,NA,EN,2018-09-13T07:00:00Z
